,Wikias by pageviews,Wiki ID,Primary,Secondary - Add all that apply,Secondaries to chose from:
Chen,zh.pad.wikia.com,50184,Gaming,Android| Fighting| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Note: Please Click
Chen,zh.tos.wikia.com,68646,Gaming,Android| Fighting| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Action
Chen,evchk.wikia.com,268,Lifestyle,Country| Folk| Humor| Pop| Web entertainment (YouTube),Adventure
Chen,hkbus.wikia.com,4245,Lifestyle,Country| Travel,Android
Chen,zh.chain-chronicle.wikia.com,80085,Gaming,Android| Fighting| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Animation
Chen,zh.asoiaf.wikia.com,47988,Books,Android| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Anime
Chen,zh.monst.wikia.com,91610,Gaming,Android| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Answers
Chen,zh.divine-gate.wikia.com,82120,Gaming,Android| Fighting| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Auto
Chen,zh.againstwar.wikia.com,57566,Gaming,Android| Fighting| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Books
Chen,zh.ggfr.wikia.com,72112,Gaming,PC| Android| Fighting| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Children
Chen,zh.summonsboard.wikia.com,91510,Gaming,Android| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Classical
Chen,zh.valkyrie-crusade.wikia.com,79213,Gaming,Android| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Comedy
Chen,cn.uncyclopedia.wikia.com,238,Lifestyle,Country| Folk| Humor| Pop| Web entertainment (YouTube),Comics
Chen,zh.teos2.wikia.com,91648,Gaming,Android| Fighting| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Country
Chen,hkrail.wikia.com,2152,Lifestyle,Country| Travel,Creative
Chen,zh.xjy.wikia.com,81935,Gaming,Android| Fighting| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Drama
Chen,zh.kssma.wikia.com,66993,Gaming,Android| Free-to-Play| iOS| Mobile| Strategy| Young Adult,e-Sports
Chen,zh.exvsfb.wikia.com,83633,Gaming,Android| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Education
Chen,zh.one-piece-treasure-cruise.wikia.com,96812,Gaming,Android| Comics| Fighting| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Electronic
Chen,zh.fantasica.wikia.com,66234,Gaming,Android| Fighting| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Fanon
Chen,zh-tw.doraemon.wikia.com,171,Comics,Children| Books| Adventure| Anime| Movies,Fantasy
Chen,zh.hunterxhunter.wikia.com,9819,Comics,Children| Books| Adventure| Anime|,Fashion and Style
Chen,zh.fuwenxiyou.wikia.com,77546,Gaming,Android| Fighting| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Fighting
Chen,zh.assassinscreed.wikia.com,36313,Gaming,Android| Free-to-Play| iOS| Mobile| Strategy| Young Adult,Finance
