Wikias by pageviews,Wiki ID,Primary,Secondary - Add all that apply,Secondaries to chose from:
fr.onepiece.wikia.com,1060,Comics,Anime| Gaming| Action| RPG| Fighting| PlayStation  Wii U| Nintendo 3DS| Xbox 360,Note: Please Click
fr.naruto.wikia.com,900,Comics,Anime| Gaming| Movies| Fighting| Action| Xbox 36 PlayStation 3,Action
desencyclopedie.wikia.com,483,Lifestyle,Humor,Adventure
fr.clashofclans.wikia.com,58492,Gaming,Mobile| iOS| Android| Free-to-Play| Strategy,Android
fr.fairy-tail.wikia.com,8210,Comics,Anime| Gaming| Fighting,Animation
fr.harrypotter.wikia.com,259,Books,Movies| Drama| Fantasy| Gaming| Action| PC| Xbox 36 PlayStation 3,Anime
fr.mogapedia.wikia.com,35776,Gaming,Adventure| MMO| Nintendo 3DS| PlayStation 3,Answers
fr.leagueoflegends.wikia.com,16198,Gaming,MOBA| Strategy| Free-to-Play| Fantasy| e-Sports,Auto
fr.wowwiki.com,897,Gaming,MMO| RPG| Strategy| Fantasy| PC| Books| TCG,Books
fr.elderscrolls.wikia.com,42454,Gaming,Fantasy| RPG| MMO| PC| Xbox 36 PlayStation 3,Children
fr.inazuma-eleven.wikia.com,29006,Gaming,Anime| Comics| Nintendo 3DS| e-Sports| RPG| Music,Classical
fr.warframe.wikia.com,72592,Gaming,Shooter| Free-to-Play| Sci-Fi| PC| Xbox One| Playstation 4,Comedy
reponses.wikia.com,1716,Lifestyle,Answers,Comics
routes.wikia.com,538,Lifestyle,Auto,Country
fr.glee.wikia.com,18468,TV,Drama,Creative
fr.bleach.wikia.com,3475,Comics,TV| Anime| Fantasy| Fighting,Drama
fr.gta.wikia.com,253,Gaming,Action| PC| Xbox 36 PlayStation  iOS| Xbox One| PlayStation 4,e-Sports
fr.vampirediaries.wikia.com,43084,TV,Drama| Fantasy| Books| Young Adult,Education
fr.sims.wikia.com,2010,Gaming,Simulation| Strategy| PC| Mac| PlayStation  Xbox 360,Electronic
fr.lyrics.wikia.com,6540,Music,Music,Fanon
fr.grandfantasia.wikia.com,8196,Gaming,MMO| PC| Adventure| Fantasy,Fantasy
fr.onceuponatime.wikia.com,50645,TV,Drama| Fantasy,Fashion and Style
fr.pretty-little-liars.wikia.com,32983,TV,Young Adult| Adventure| Fashion and Style| Drama,Fighting
fr.assassinscreed.wikia.com,1710,Gaming,Xbox 36 PlayStation  Xbox One| PlayStation  Adventure| Comics,Finance
fr.animalcrossing.wikia.com,7495,Gaming,Simulation| RPG| Nintendo 3DS,Folk
fr.kingdomhearts.wikia.com,1648,Gaming,Playstation  Playstation  Xbox One| Nintendo 3DS| RPG| Xbox 36 Fantasy,Food and Drink
fr.teenwolf.wikia.com,41679,TV,Drama| Young Adult,Free-to-Play
fr.hunterxhunter.wikia.com,1163,Comics,Anime| Gaming| PlayStation Vita| PlayStation  Nintendo 3DS,Gaming
fr.game-of-thrones.wikia.com,87001,TV,Drama| Fantasy,Green
fr.zelda.wikia.com,840,Gaming,Nintendo 3DS| Fantasy| Nintendo Wii U| Adventure,Heroes
fr.finalfantasy.wikia.com,620,Gaming,RPG| MMO| Strategy| Fantasy| PC| Xbox 36 Playstation  Mobile| iOS,Hip Hop/Rap/R&B
fr.starwars.wikia.com,750,Movies,Sci-Fi| Books| TV| Gaming| Comics| RPG| MMO| Strategy| Shooter| Action| Racing| Free-to-Play| Mobile| PC| Xbox 36 PlayStation 3,Home and Gardening
fr.lego.wikia.com,6900,Lifestyle,Toys| Children| Movies| PlayStation  PlayStation Vita| Gaming| Nintendo Wii U| Xbox 360,Horror
fr.thevoice.wikia.com,53667,TV,Music,Humor
fr.masseffect.wikia.com,317,Gaming,RPG| Shooter| Sci-Fi| PC| Xbox 36 PlayStation  Mobile| iOS| Android,Indie
fr.lostpedia.wikia.com,1434,TV,Action| Sci-fi| Drama,iOS
fr.simpson-springfield.wikia.com,78338,Gaming,Mobile| iOS| Android| Free-to-Play| Strategy,Jazz
sorceleur.wikia.com,542,Books,Gaming| Fantasy| Xbox 36 PlayStation 3,Kickstarter
fr.tele-realite.wikia.com,73949,Lifestyle,TV,Lifestyle
fr.lgdc.wikia.com,15122,Books,Yound Adult,Mac
fr.mario.wikia.com,1111,Gaming,Nintendo 3DS| Nintendo Wii U| Children| Young Adult| Adventure| Movies,MMO
fr.guildwars.wikia.com,608,Gaming,MMO| PC| Fantasy,MOBA
fr.aura-kingdom.wikia.com,82848,Gaming,MMO| PC| Fantasy,Mobile
fr.shingekinokyojin.wikia.com,85348,Comics,Fantasy| PC,Movies
