,Wikias by pageviews,Wiki ID,Primary,Secondary - Add all that apply,Secondaries to chose from:
Claudia,www.jedipedia.de,28741,Movies,Books| TV| Sci-Fi| Adventure| Comics| Animation| Gaming,Note: Please Click
Claudia,de.gta.wikia.com,733,Gaming,Action| PlayStation  PlayStation  Xbox One| Xbox 36 PC,Action
Claudia,de.naruto.wikia.com,471,TV,Anime| Comics| Action| Young Adult| Gaming,Adventure
Claudia,de.clashofclans.wikia.com,58931,Gaming,Mobile| iOS| Android| Free-to-Play| Strategy,Android
Claudia,de.elderscrolls.wikia.com,708,Gaming,Fantasy| RPG| MMO| PC| Xbox 36 PlayStation  Xbox One| PlayStation 4,Animation
Claudia,de.gameofthrones.wikia.com,44588,TV,Books| Fantasy| Drama,Anime
Claudia,de.terraria.wikia.com,27461,Gaming,PC| Xbox 36 PlayStation  iOS| Android| Action| Adventure,Answers
Claudia,de.memory-alpha.org,114,TV,Books| Movies| Sci-Fi,Auto
Claudia,de.harry-potter.wikia.com,24133,Books,Movies| Children| Fantasy,Books
Claudia,de.creepypasta.wikia.com,53616,Other,Horror| Creative,Children
Claudia,de.bindingofisaac.wikia.com,54824,Gaming,PC| Horror| Indie| Comedy,Classical
Claudia,de.digimon.wikia.com,52,TV,Anime| Comics| Gaming,Comedy
Claudia,de.fallout.wikia.com,468,Gaming,RPG| Shooter| Strategy| PC| Xbox 36 PlayStation  Comics,Comics
Claudia,de.leagueoflegends.wikia.com,15526,Gaming,MOBA| Strategy| Free-to-Play| Fantasy| e-Sports,Country
Claudia,de.sailor-moon.wikia.com,10896,TV,Anime| Comics| Young Adult| Fantasy,Creative
Claudia,de.warframe.wikia.com,71954,Gaming,Shooter| Free-to-Play| Sci-Fi| PC| Xbox One| Playstation 4,Drama
Claudia,frag.wikia.com,1845,Other,Answers,e-Sports
Claudia,de.finalfantasy.wikia.com,982,Gaming,RPG| MMO| Strategy| Fantasy| PC| Xbox 36 Playstation  Mobile| iOS,Education
Claudia,de.lotr.wikia.com,858,Books,Movies| Fantasy,Electronic
Claudia,de.how-i-met-your-mother.wikia.com,10284,TV,Comedy,Fanon
Claudia,de.mario.wikia.com,284,Gaming,Nintendo 3DS| Nintendo Wii U| Children| Young Adult| Adventure,Fantasy
Claudia,de.assassinscreed.wikia.com,1794,Gaming,Adventure| X-Box| X-Box 36 Playstation  PC,Fashion and Style
Claudia,de.vroniplag.wikia.com,24440,Other,Education,Fighting
Claudia,dietributevonpanem.wikia.com,27374,Books,Movies| Young Adult,Finance
Claudia,de.masseffect.wikia.com,7103,Gaming,RPG| Shooter| Sci-Fi| PC| Xbox 36 PlayStation  Mobile| iOS| Android,Folk
Micha,de.bleach.wikia.com,718,TV,Anime| TV| Comics,Food and Drink
Micha,de.eisundfeuer.wikia.com,3970,Books,Fantasy| Drama,Free-to-Play
Micha,de.onepiece.wikia.com,797,TV,Anime| Comics| Movies| Action| Young Adult,Gaming
Micha,de.monsterhunter.wikia.com,40733,Gaming,Fantasy| Playstation  X-Box 36 Playstation Vita| MMO| iOS| ,Green
Micha,de.vampirediaries.wikia.com,8115,TV,Books| Young Adult| Fantasy,Heroes
Micha,de.warrior-cats.wikia.com,1962,Books,Fantasy,Hip Hop/Rap/R&B
Micha,de.marvel-filme.wikia.com,53148,Movies,Comics| TV,Home and Gardening
Micha,de.glee.wikia.com,19216,TV,Young Adult| Comedy| Music,Horror
Micha,de.supernatural.wikia.com,4531,TV,Fantasy| Drama,Humor
Micha,de.harrypotter.wikia.com,965,Books,Movies| Children| Fantasy,Indie
Micha,de.yugioh.wikia.com,241,TV,Anime| Comics| Gaming| TCG| Strategy| Movies| Xbox 36 PlayStation  Nintendo 3DS,iOS
Micha,de.halo.wikia.com,394,Gaming,X-Box 36 PC| Shooter,Jazz
Micha,forscherliga.wikia.com,231,Gaming,MMO| Fantasy,Kickstarter
Micha,de.reddead.wikia.com,7781,Gaming,Action| Adventure,Lifestyle
Micha,de.youtube.wikia.com,4276,Web entertainment (YouTube),,Mac
Micha,hexer.wikia.com,624,Gaming,Books| Fantasy| PC| Action,MMO
Micha,de.hayday.wikia.com,56329,Gaming,iOS| Android| Children,MOBA
Micha,de.drakensangonline.wikia.com,49538,Gaming,PC| MMO| Fantasy,Mobile
Micha,de.schlosseinstein.wikia.com,35399,TV,Young Adult| Children,Movies
Micha,de.fairytail.wikia.com,1345,TV,Anime| Comics| TV,Music
Micha,de.lostpedia.wikia.com,1433,TV,Drama,Nintendo 3DS
Micha,de.greysanatomy.wikia.com,2790,TV,Romance| Drama,Nintendo Wii U
Micha,de.godzilla.wikia.com,1405,Movies,Action,PC
Micha,de.digimonmasters.wikia.com,35496,Gaming,MMO| PC| Children| TV,Philosophy
Micha,de.lego.wikia.com,481,Lifestyle,Toys| Movies| Children| Young Adult| Gaming| PC| PlayStation  PlayStation  Xbox One| Xbox 360,PlayStation 3
,,,,,PlayStation 4
,,,,,PlayStation Vita
,,,,,Politics
,,,,,Pop
,,,,,Racing
,,,,,Rock
,,,,,Romance
,,,,,RPG
,,,,,Sci-Fi
,,,,,Science
,,,,,Shooter
,,,,,Simulation
,,,,,Sports
,,,,,Sports
,,,,,Strategy
,,,,,Survival
,,,,,Tabletop
,,,,,Technology
,,,,,Toys
,,,,,Trading Card Game (TCG)
,,,,,Travel
,,,,,TV
,,,,,Web entertainment (YouTube)
,,,,,Wikia
,,,,,Xbox 360
,,,,,Xbox One
,,,,,Young Adult
