,Wikias by pageviews,Wiki ID,Primary,Secondary - Add all that apply,Secondaries to chose from:
Kanako,ja.gundam.wikia.com,1768,TV,Comics| Animation| Movies| Gaming| Adventure| Action| Fantasy| Anime,Note: Please Click
Kanako,yaruo.wikia.com,5268,Other,Creative,Action
Kanako,ja.dont-starve.wikia.com,65858,Gaming,Adventure| Survival| Action| Playstation PC| Mac,Adventure
Kanako,ja.kirby.wikia.com,1183,Gaming,Anime| Action| Strategy| Fantasy| Music| Nintendo 3DS,Android
Kanako,ja.starwars.wikia.com,931,Movies,Sci-Fi| Books| TV| Gaming| Comics| RPG| MMO| Strategy| Shooter| Action| Racing| Free-to-Play| Mobile| PC| Xbox 36 PlayStation 3,Animation
Kanako,ja.gw2.wikia.com,11144,Gaming,PC| RPG,Anime
Kanako,ja.elderscrolls.wikia.com,52213,Gaming,Fantasy| RPG| MMO| PC| Xbox 36 PlayStation 3,Answers
Kanako,ja.eq2.wikia.com,591,Gaming,MMO| RPG| PC| Fantasy| Adventure| Fighting| MOBA,Auto
Kanako,ja.onepiece.wikia.com,16997,Comics,TV| Movie| Gaming| Books| Adventure,Books
Kanako,ja.dragonball.wikia.com,3749,Comics,TV| Movie| Gaming| Books| Fighting,Children
Kanako,ja.memory-alpha.org,379,TV,Books| Comics| RPG| Technology| Sci-Fi| Movies,Classical
Kanako,ja.biohazard.wikia.com,1213,Gaming,PlayStation  Xbox 36 Horror,Comedy
Kanako,ja.halo.wikia.com,676,Gaming,X-Box 36 PC| Shooter,Comics
Kanako,japan.wikia.com,237,Lifestyle,Travel| ,Country
Kanako,ja.harrypotter.wikia.com,1318,Movies,Books| Drama| Fantasy| Action| ,Creative
Kanako,ja.lotro.wikia.com,751,Gaming,MMO| RPG| PC| Fantasy| Adventure,Drama
Kanako,ja.doraemon.wikia.com,655,Comics,TV| Movies| Gaming| Toys,e-Sports
Kanako,ja.disney.wikia.com,11706,Movies,TV| Animation| Gaming| Fantasy| Children| Comics| Drama| Comedy| Action| RPG| Racing| Xbox 36 PlayStation  Nintendo 3DS| Wii U,Education
Kanako,ja.finalfantasy.wikia.com,66,Gaming,RPG| MMO| Strategy| Fantasy| PC| Xbox 36 Playstation  Mobile| iOS,Electronic
Kanako,ja.mlp.wikia.com,41690,TV,Animation| Books| Children| Fantasy| Nintendo 3DS,Fanon
Kanako,ja.fss.wikia.com,7002,Comics,Sci-Fi| Animation| Movies| Books,Fantasy
Kanako,ja.revival.wikia.com,404,TV,Comics| Animation| Movies| Gaming| Adventure| Action| Fantasy| Anime,Fashion and Style
Kanako,ja.touhou.wikia.com,2348,Movies,TV| Drama| Animation,Fighting
Kanako,ja.drama.wikia.com,17518,TV,Drama,Finance
Kanako,ja.wow.wikia.com,386,Gaming,MMO| RPG| PC| Adventure| Mac| ,Folk
Kanako,ja.googology.wikia.com,87941,Lifestyle,Education| Books,Food and Drink
Kanako,ja.rfonline.wikia.com,615,Gaming,MMO| RPG| PC| Fantasy,Free-to-Play
Kanako,ja.hagaren.wikia.com,85,Comics,TV| Movies| Drama| Gaming| Books. ,Gaming
Kanako,ja.assassinscreed.wikia.com,61360,Gaming,Adventure| X-Box| X-Box 36 Playstation  PC,Green
Kanako,ja.kinnikuman.wikia.com,3745,Comics,Books| Gaming| Toys| Mobile,Heroes
Kanako,ja.fma.wikia.com,16146,Comics,TV| Movies| Drama| Gaming| Books. ,Hip Hop/Rap/R&B
Kanako,ja.mario.wikia.com,516,Gaming,Nintendo 3DS| Nintendo Wii U| Children| Young Adult| Adventure,Home and Gardening
Kanako,ja.community.wikia.com,439,Wikia,,Horror
Kanako,ja.eiga.wikia.com,868,Movies,Animation Comedy| Children| Drama| Fantsy| Horror,Humor
Kanako,ja.transformers.wikia.com,341,Other,Movies| Books| Comics,Indie
Kanako,ja.hokuto.wikia.com,1846,Comics,TV| Movies| Books| Gaming| Animation,iOS
Kanako,ja.hanako-to-anne.wikia.com,94607,TV,Drama,Jazz
Kanako,ja.kancolletrpgclub.wikia.com,95219,Gaming,Books| Comics,Kickstarter
