Wikias by pageviews,Wiki ID,Primary,Secondary - Add all that apply,Secondaries to chose from:
nonsensopedia.wikia.com,667,Other,Creative| Humor,Note: Please Click
pl.sims.wikia.com,432,Gaming,Simulation| Strategy| PC| Mac,Action
pl.gta.wikia.com,583,Gaming,Action| PC| PS PS Xbox 36 Xbox One,Adventure
pl.gothic.wikia.com,280,Gaming,RPG| Action| Fantasy| PC| PS Xbox 360,Android
pl.dontstarve.wikia.com,60762,Gaming,Action| Adventure| Survival| Fantasy| PC| Mac| PS4,Animation
pl.harrypotter.wikia.com,978,Books,Movies| Drama| Fantasy| Gaming| Action| PC| Xbox 36 PlayStation 3,Anime
pl.naruto.wikia.com,236,Comics,Action| Adventure| Anime| Fighting| Gaming| Manga| Nintendo 3DS| Nintendo Wii U| PlayStation  TV| Xbox 360,Answers
pl.leagueoflegends.wikia.com,12589,Gaming,Strategy| Fantasy| Free-to-Play| MOBA| e-Sports| PC| Mac,Auto
pl.slodkiflirt.wikia.com,51490,Gaming,Comics| Romance| PC| iOS| Android,Books
jakwytresowacsmoka.wikia.com,50737,Movies,Action| Adventure| Animation| Fantasy,Children
pl.creepypasta.wikia.com,56418,Other,Creative| Horror,Classical
pl.mlp.wikia.com,42332,TV,Animation| Children| Fantasy| Toys,Comedy
wiedzmin.wikia.com,984,Books,Gaming| RPG| Action| Drama| Fantasy| Movies| TV| Comics| PC| Mac| Xbox 36 Xbox One| PS4,Comics
pl.elderscrolls.wikia.com,6170,Gaming,RPG| Action| Fantasy| MMO| PC| Mac| PS PS Xbox 36 Xbox One,Country
pl.ben10.wikia.com,43089,TV,Animation| Action| Adventure| Heroes| Childrem| Sci-Fi,Creative
warszawa.wikia.com,642,Lifestyle,Geography| Travel,Drama
ranczo.wikia.com,1440,TV,Comedy| Humor,e-Sports
pl.dragonball.wikia.com,350,TV,Action| Adventure| Anime| Fantasy| Gaming| PlayStation  Xbox 360,Education
pl.fallout.wikia.com,63,Gaming,Action| Strategy| RPG| Sci-Fi| PC| PS Xbox 360,Electronic
pl.lotr.wikia.com,1733,Books,Movies| Gaming| Fantasy,Fanon
pl.bleach.wikia.com,53,Comics,Action| Anime| Fantasy| Fighting| Gaming| Manga| TV,Fantasy
pl.lodiogien.wikia.com,78462,Books,TV| Fantasy| Drama,Fashion and Style
pl.pora-na-przygode.wikia.com,57334,TV,Animation| Comedy| Children,Fighting
pl.fairytail.wikia.com,9196,Comics,Action| Adventure| Anime| Fantasy| Manga| TV,Finance
pl.assassinscreed.wikia.com,663,Gaming,Action| Fantasy| Sci-Fi| PC| PS PS Xbox 36 Xbox One,Folk
pl.monsterhigh.wikia.com,39339,TV,Movies| Books| Animation| Toys,Food and Drink
pl.onepiece.wikia.com,4439,Comics,Adventure| Anime| Fighting| Manga| TV,Free-to-Play
pl.wow.wikia.com,943,Gaming,RPG| MMO| Fantasy| PC| Mac,Gaming
pl.frozen.wikia.com,83819,Movies,Animation| Children| Fantasy,Green
pl.masseffect.wikia.com,9874,Gaming,RPG| Action| Sci-Fi| Drama| PC| PS Xbox 360,Heroes
pl.westerosessos.wikia.com,72241,Books,TV| Fantasy| Drama,Hip Hop/Rap/R&B
pl.totalna-porazka.wikia.com,15946,TV,Animation| Comedy,Home and Gardening
pl.marvel.wikia.com,1548,Comics,TV| Gaming| Heroes,Horror
pl.bindingofisaac.wikia.com,47927,Gaming,Indie| Survival| PC ,Humor
pl.callofduty.wikia.com,805,Gaming,Shooter| Mobile| PC| PlayStation  PlayStation  Xbox 36 Xbox One,Indie
pl.polskapersopedia.wikia.com,20298,Books,Fantasy,iOS
pl.slugterra.wikia.com,63041,TV,Animation| Children,Jazz
pl.pokemon.wikia.com,12833,Gaming,Anime| TV| Manga| Fantasy| RPG| Nintendo 3DS,Kickstarter
pl.angrybirds.wikia.com,54723,Gaming,PC| iOS| Android,Lifestyle
pl.uzbrojenie.wikia.com,32987,Lifestyle,Technology,Mac
pl.pzm.wikia.com,49253,TV,Animation| Children| Comedy| Humor| Movies,Manga
igrzyskasmierci.wikia.com,22011,Books,Movies| Fantasy,MMO
pl.terraria.wikia.com,26078,Gaming,Adventure| Fantasy| PC| Xbox 360,MOBA
pl.austinially.wikia.com,53094,TV,Children| Humor| Drama,Mobile
poznan.wikia.com,915,Lifestyle,Geography| Travel,Geography
pl.tvd.wikia.com,30739,TV,Drama| Fantasy| Books| Young Adult,Music
spolecznosc.wikia.com,686,Wikia,,Nintendo 3DS
pl.dota-2.wikia.com,80347,Gaming,Strategy| Fantasy| Free-to-Play| MOBA| e-Sports| PC,Nintendo Wii U
pl.rayman.wikia.com,2452,Gaming,Adventure| PC| PS  PS  Xbox 36 Xbox One| Nintendo Wii U| Nintendo 3DS| Mobile,PC
kapitanbomba.wikia.com,1131,TV,Animation| Comedy,Philosophy
,,,,PlayStation 3
,,,,PlayStation 4
,,,,PlayStation Vita
,,,,Politics
,,,,Pop
,,,,Racing
,,,,Rock
,,,,Romance
,,,,RPG
,,,,Sci-Fi
,,,,Science
,,,,Shooter
,,,,Simulation
,,,,Sports
,,,,Strategy
,,,,Survival
,,,,Tabletop
,,,,Technology
,,,,Toys
,,,,Trading Card Game (TCG)
,,,,Travel
,,,,TV
,,,,Web entertainment (YouTube)
,,,,Wikia
,,,,Xbox 360
,,,,Xbox One
,,,,Young Adult
