,Wikias by pageviews,Wiki ID,Primary,Secondary - Add all that apply,Secondaries to chose from:
Ana,pt-br.naruto.wikia.com,17802,TV,Anime|  Gaming| Free-to-Play| Comics| Children| Animation,Note: Please Click
Ana,pt-br.ben10.wikia.com,918,TV,Children| Gaming| Free-to-Play| Comics| Animation,Action
Ana,pt.saintseiya.wikia.com,39,TV,Anime| Gaming| Free-to-Play| Comics| Children| Movies| Animation,Adventure
Ana,pt-br.horadeaventura.wikia.com,56763,TV,Anime| Gaming| Free-to-Play| Animation,Android
Ana,pt-br.sims.wikia.com,13,Gaming,Simulation| Nintendo Wii| Nintendo DS,Animation
Ana,pt.onepiece.wikia.com,1113,Comics,Anime| TV| Children,Anime
Ana,pt.simpsons.wikia.com,813,TV,Animation| Comedy,Answers
Ana,respostas.wikia.com,6030,Lifestyle,Answers,Auto
Ana,pt.starwars.wikia.com,473,Movies,Fantasy| Adventure| Action| Sci-fi,Books
Ana,pt.gta.wikia.com,51,Gaming,Action| Adventure| RPG| PC| PlayStation| ,Children
Ana,pt-br.gumball.wikia.com,41668,TV,Animation| Children,Classical
Ana,pt.dofus.wikia.com,809,Gaming,MMO| RPG,Comedy
Ana,pt.runescape.wikia.com,923,Gaming,MMO| RPG,Comics
Ana,pt-br.grandchase.wikia.com,9785,Gaming,Action| Adventure| PC,Country
Ana,pt-br.leagueoflegends.wikia.com,59609,Gaming,MOBA| PC,Creative
Ana,pt-br.supernatural.wikia.com,6433,TV,Horror| Drama,Drama
Ana,pt-br.disneyprincesas.wikia.com,44987,Movies,Children| Animation,e-Sports
Ana,pt.bleach.wikia.com,10909,TV,Anime|  Animation,Education
Ana,pt.mlp.wikia.com,72950,TV,Children| Animation|,Electronic
Ana,pt.mortalkombat.wikia.com,944,Gaming,Movies| TV| Fighting,Fanon
Ana,pt-br.monica.wikia.com,791,Comics,Children,Fantasy
Ana,pt-br.harrypotter.wikia.com,11049,Movies,Books| Fantasy| Drama| Action,Fashion and Style
Ana,pt.lost.wikia.com,555,TV,Drama| Action,Fighting
Ana,pt-br.creepypastabrasil.wikia.com,44508,Lifestyle,Creative,Finance
Ana,pt.assassinscreedbr.wikia.com,8404,Gaming,Action| Adventure| PlaysStation  PlayStation  Xbox 36 Xbox One,Folk
Ana,pt-br.phineaseferb.wikia.com,26548,TV,Animation| Children,Food and Drink
Ana,pt-br.tsrd.wikia.com,16433,Gaming,RPG| Fantasy,Free-to-Play
Ana,pt.fantasia.wikia.com,483,Lifestyle,Books| ,Gaming
Ana,pt-br.ub10fanfiction.wikia.com,60537,TV,Anime| Children| Gaming| Animation| Comics,Green
Ana,pt-br.infomedica.wikia.com,3505,Lifestyle,Education,Heroes
Ana,pt.naruto.wikia.com,62580,TV,Anime| Gaming| Free-to-Play| Comics| Children,Hip Hop/Rap/R&B
Ana,pt.poesia.wikia.com,600,Lifestyle,Creative,Home and Gardening
Ana,pt-br.icarly.wikia.com,10795,TV,Children| Comedy,Horror
Ana,pt-br.cueio.wikia.com,94484,TV,Web Entertainment (Youtube),Humor
Ana,pt-br.supernaturalbrasil.wikia.com,55068,TV,Horror| Drama,Indie
Ana,pt-br.fairytail.wikia.com,8264,TV,Anime| Comics,iOS
Ana,pt-br.vampire-diaries.wikia.com,40236,TV,Horror| Drama,Jazz
Ana,pt-br.apenasumshow.wikia.com,39229,TV, Children| Animation,Kickstarter
Ana,pt.yugioh.wikia.com,637,Comics,Trading Card Game| Gaming| ,Lifestyle
Ana,pt.spore.wikia.com,1744,Gaming,Simulation| PC,Mac
Ana,pt.pokemon.wikia.com,3276,TV,Anime| Gaming| Children| Animation,MMO
Ana,pt.acampamentomeiosangue.wikia.com,32283,Books,Movies| Fantasy,MOBA
Ana,pt-br.inazuma-eleven.wikia.com,20257,TV,Anime,Mobile
Ana,pt-br.slugterra.wikia.com,71559,TV,Anime,Movies
Ana,pt-br.pokepediabr.wikia.com,75910,Comics,Anime| Gaming| Children| Animation,Music
Ana,pt.narutopediabr.wikia.com,11049,Comics,Anime|  Gaming| Free-to-Play| Comics| Children| Animation,Nintendo 3DS
Ana,pt-br.dragonball.wikia.com,55403,Comics,Movies| Anime| Gaming,Nintendo Wii U
Ana,pt.dragonball.wikia.com,383,Comics,Movies| Anime| Gaming,PC
Ana,pt.chespirito.wikia.com,709,TV,Children| Comedy,Philosophy
Ana,pt-br.kickbuttowski.wikia.com,39594,TV,Animation| Children|,PlayStation 3
,,,,,PlayStation 4
,,,,,PlayStation Vita
,,,,,Politics
,,,,,Pop
,,,,,Racing
,,,,,Rock
,,,,,Romance
,,,,,RPG
,,,,,Sci-Fi
,,,,,Science
,,,,,Shooter
,,,,,Simulation
,,,,,Sports
,,,,,Sports
,,,,,Strategy
,,,,,Survival
,,,,,Tabletop
,,,,,Technology
,,,,,Toys
,,,,,Trading Card Game (TCG)
,,,,,Travel
,,,,,TV
,,,,,Web entertainment (YouTube)
,,,,,Wikia
,,,,,Xbox 360
,,,,,Xbox One
,,,,,Young Adult
