Wikias by pageviews,Wiki ID,Primary,Secondary - Add all that apply,Secondaries to chose from:
ru.darksouls.wikia.com,47932,Gaming,Action| PC| PlayStation  RPG| Xbox 360,Note: Please Click
ru.elderscrolls.wikia.com,520,Gaming,Action| MMO| PC| PlayStation  RPG| Xbox 360,Action
ru.terraria.wikia.com,26217,Gaming,Adventure| Android| Indie| iOS| PC| PlayStation Vita| RPG,Adventure
ru.fallout.wikia.com,469,Gaming,Action| Mac| PC| PlayStation  RPG| Xbox 360,Android
ru.warframe.wikia.com,68207,Gaming,Action| MMO| PC| PlayStation  Shooter| Free-to-Play,Animation
ru.dont-starve.wikia.com,63551,Gaming,Adventure| Indie| Mac| PC| PlayStation 4,Anime
ru.starwars.wikia.com,530,Movies,Animation| Books| Comics| Gaming| Sci-Fi,Answers
ru.stalker.wikia.com,10807,Gaming,Acction| Books| PC| Shooter| Survival,Auto
ru.dragonage.wikia.com,6154,Gaming,Action| Fantasy| Mac| PC| PlayStation  RPG| Xbox 360,Books
ru.harrypotter.wikia.com,158,Books,Children| Fantasy| Gaming| Movies,Children
ru.masseffect.wikia.com,768,Gaming,Action| Animation| Comics| PC| PlayStation  RPG| Sci-Fi| Shooter| Xbox 360,Classical
ru.borderlands.wikia.com,10213,Gaming,Action| Mac| PC| PlayStation  RPG| Shooter| Xbox 360,Comedy
ru.gameofthrones.wikia.com,13307,TV,Books| Drama| Fantasy,Comics
ru.anime-characters-fight.wikia.com,60783,Lifestyle,Creative| Fanon| RPG| ,Country
ru.naruto.wikia.com,656,TV,Anime| Comics,Creative
ru.callofduty.wikia.com,5087,Gaming,Action| Mac| Nintendo Wii U| PC| PlayStation  PlayStation  Shooter| Xbox 36 Xbox One,Drama
ru.bindingofisaac.wikia.com,45479,Gaming,Action| Adventure| Indie| PC| RPG,e-Sports
ru.onepiece.wikia.com,5715,TV,Anime| Comics,Education
ru.walkingdead.wikia.com,39745,TV,Adventure| Android| Comics| Drama| Gaming| Horror| iOS| Mac| PC| PlayStation Vita| Survival,Electronic
ru.drakensang.wikia.com,50314,Gaming,Action| Fantasy| MMO| PC,Fanon
ru.gta.wikia.com,145,Gaming,Action| Android| iOS| Mac| PC| PlayStation  PlayStation Vita| Xbox 360,Fantasy
ru.supernatural.wikia.com,8983,TV,Drama| Horror,Fashion and Style
ru.sims.wikia.com,1108,Gaming,Fanon| PC,Fighting
ru.angrybirds.wikia.com,48874,Gaming,Android| Animation| Children| Fanon| iOS| Mac| Mobile| PC| PlayStation  Tabletop| Xbox 360,Finance
ru.starbound.wikia.com,48609,Gaming,Adventure| Indie| PC| Sci-Fi,Folk
ru.assassinscreed.wikia.com,15346,Gaming,Action| Nintendo Wii U| PC| PlayStation  PlayStation  PlayStation Vita| Xbox One| Xbox 360,Food and Drink
ru.mlp.wikia.com,23674,TV,Animation| Children| Comics,Free-to-Play
ru.fairytail.wikia.com,3926,TV,Anime| Comics,Gaming
ru.outlast.wikia.com,89040,Gaming,Horror| PC| PlayStation  Survival,Green
ru.darkage.wikia.com,49010,Gaming,Fantasy| Free-to-Play| MMO| PC| RPG,Heroes
ru.wow.wikia.com,289,Gaming,Fantasy| Mac| MMO| PC| RPG,Hip Hop/Rap/R&B
ru.bleach.wikia.com,40001,TV,Anime| Comics,Home and Gardening
ru.shararam-smeshi.wikia.com,50469,Gaming,Animation| Children| MMO| PC,Horror
ru.craft-the-world.wikia.com,88928,Gaming,Adventure| Indie| PC,Humor
ru.lotr.wikia.com,66,Books,Drama| Fantasy| Movies,Indie
ru.avatar.wikia.com,90,TV,Animation| Books| Children| Comics| Fanon| Gaming| Movies,iOS
ru.clashofclans.wikia.com,70989,Gaming,Android| Free-to-Play| iOS| MMO| Strategy,Jazz
ru.adventuretime.wikia.com,53317,TV,Animation| Children,Kickstarter
ru.contractwars.wikia.com,65038,Gaming,Action| Free-to-Play| PC| Shooter,Lifestyle
ru.tvpedia.wikia.com,18850,TV,,Mac
ru.tardis.wikia.com,751,TV,Classical| Drama| Sci-Fi,MMO
ru.payday.wikia.com,64919,Gaming,Action| PC| PlayStation  Shooter| Xbox 360,MOBA
ru.science.wikia.com,977,Lifestyle,Creative| Education| Science,Mobile
ru.mortalkombat.wikia.com,15466,Gaming,Action| Animation| Fighting| Movies| PC| PlayStation  PlayStation  PlayStation Vita| TV| Xbox 36 Xbox One,Movies
ru.stalkermod.wikia.com,70029,Gaming,Action| Creative| PC| Shooter| Survival,Music
ru.spore.wikia.com,188,Gaming,Adventure| Children| Mac| PC. RPG,Nintendo 3DS
ru.metro.wikia.com,2101,Books,Action| Gaming| Horror| Mac| PC| PlayStation  Shooter| Survival| Xbox 360,Nintendo Wii U
ru.mafia.wikia.com,53126,Gaming,Action| Mac| PC| PlayStation  Shooter| Xbox 360,PC
vedmak.wikia.com,543,Gaming,Action| Books| Fantasy| PC| RPG| Xbox 360,Philosophy
ru.warriors.wikia.com,42642,Lifestyle,Education,PlayStation 3
,,,,PlayStation 4
,,,,PlayStation Vita
,,,,Politics
,,,,Pop
,,,,Racing
,,,,Rock
,,,,Romance
,,,,RPG
,,,,Sci-Fi
,,,,Science
,,,,Shooter
,,,,Simulation
,,,,Sports
,,,,Sports
,,,,Strategy
,,,,Survival
,,,,Tabletop
,,,,Technology
,,,,Toys
,,,,Trading Card Game (TCG)
,,,,Travel
,,,,TV
,,,,Web entertainment (YouTube)
,,,,Wikia
,,,,Xbox 360
,,,,Xbox One
,,,,Young Adult
