,Wikias by pageviews,Wiki ID,Primary,Secondary - Add all that apply,Secondaries to chose from:
Lucho,es.pokemon.wikia.com,221,Gaming,Animation| Creative| Movies| Nintendi 3DS| Nintendo Wii U| PC| Toys| TV,Note: Please Click
Lucho,es.drama.wikia.com,1316,TV,Drama| Horror| Movies| Music| Pop| Romance| Young Adult,Action
Lucho,respuestas.wikia.com,2556,Other,Answers,Adventure
Lucho,hieloyfuego.wikia.com,193,Books,Action| Drama| Fighting| TV,Android
Lucho,es.naruto.wikia.com,344,TV,Action| Anime| Fighting| Gaming| Movies| Xbox 36 PlayStation 3,Animation
Lucho,es.yugioh.wikia.com,16605,Gaming,Anime| TV| Movies| Nintendo 3DS| PlayStation  Strategy| TCG| TV| Xbox 360,Anime
Lucho,es.doblaje.wikia.com,4810,TV,Action| Adventure| Animation| Anime| Children| Comedy| Drama| Horror| Humor| Movies| Music| Romance,Answers
Lucho,es.dragonball.wikia.com,744,Comics,TV| Action| Adventure| Animation| Anime| Children| Comedy| Fighting| Gaming| Movies| Nintendo 3DS| PlayStation  Xbox 36 Young Adult,Auto
Lucho,es.onepiece.wikia.com,58,Comics,Anime| Books| Gaming| PlayStation  Nintendo 3DS| Nintendo Wii U| Toys,Books
Lucho,es.horadeaventura.wikia.com,14192,TV,Comics| Movies| Gaming| Nintendo Wii U| Nintendo 3DS| TCG| Toys,Children
Lucho,es.gta.wikia.com,846,Gaming,Action| iOS| PC| PlayStation  Xbox 36 PlayStation  Xbox One|,Classical
Lucho,es.dragoncity.wikia.com,57658,Gaming,Android| iOS| Mobile ,Comedy
Lucho,es.harrypotter.wikia.com,44,Books,Fantasy| Movies| Nintendo Wii U| PlayStation  XBOX 360,Comics
Lucho,inciclopedia.wikia.com,49,Lifestyle,Humor,Country
Lucho,es.terraria.wikia.com,27141,Gaming,Android| Indie| iOS| PC| PlayStation Xbox 360,Creative
Lucho,es.starwars.wikia.com,916,Movies,Sci-Fi| Books| TV| Gaming| Comics| RPG| MMO| Strategy| Shooter| Action| Racing| Free-to-Play| Mobile| PC| Xbox 36 PlayStation 3,Drama
Lucho,es.digimon.wikia.com,473,TV,Action| Anime| Gaming| Movies| Fighting| PlayStation  Nintendo 3DS,e-Sports
Lucho,es.elderscrolls.wikia.com,841,Gaming,Fantasy| RPG| MMO| PC| Xbox 36 PlayStation 3,Education
Lucho,es.clash-of-clans.wikia.com,70662,Gaming,Mobile| iOS| Android| Free-to-Play| Strategy,Electronic
Lucho,es.creepypasta.wikia.com,21134,Other,Horror,Fanon
Lucho,es.fairytail.wikia.com,12040,TV,Action| Anime| Gaming| Fighting| Nintendo 3DS,Fantasy
Lucho,es.thewalkingdead.wikia.com,19497,Comics,TV| Books| Fighting| Horror| Nintendo Wii U| PlayStation 3,Fashion and Style
Lucho,es.disney.wikia.com,155,Movies,TV| Animation| Gaming| Fantasy| Children| Comics| Drama| Comedy| Action| RPG| Racing| Xbox 36 PlayStation  Nintendo 3DS| Wii U,Fighting
Lucho,es.mlp.wikia.com,39862,TV,Animation| Books| Children| Fantasy| Gaming| Nintendo 3DS,Finance
Lucho,es.bleach.wikia.com,1922,TV,Action| Anime| Fighting| Gaming| Nintendo Wii U| PlayStation  ,Folk
Luis,es.dofuswiki.wikia.com,630,Gaming,MMO| RPG| Anime| Free-to-Play,Food and Drink
Luis,es.halo.wikia.com,395,Gaming,Shooter| Xbox 36 Xbox One| PC,Free-to-Play
Luis,es.saintseiya.wikia.com,611,Comics,Anime| Comics| TV| Gaming,Gaming
Luis,es.zelda.wikia.com,819,Gaming,Adventure| RPG| Nintendo 3DS| Nintendo Wii U,Green
Luis,es.ben10.wikia.com,778,TV,Children| Young Adult| Gaming,Heroes
Luis,es.inazuma.wikia.com,15224,Gaming,Anime| TV| Comics| TCG| Nintendo 3DS,Hip Hop/Rap/R&B
Luis,es.glee.wikia.com,16454,TV,Music| Pop| Hip Hop| Rap| R&B,Home and Gardening
Luis,es.regularshow.wikia.com,36198,TV,Children| Young Adult,Horror
Luis,es.sims.wikia.com,35,Gaming,PC| Simulation,Humor
Luis,es.tibia.wikia.com,72,Gaming,MMO| RPG| Anime| Free-to-Play,Indie
Luis,es.simpsons.wikia.com,937,TV,Comedy| Gaming,iOS
Luis,es.marvel.wikia.com,7021,Comics,Heroes| Movies| TV| Gaming,Jazz
Luis,es.residentevil.wikia.com,458,Gaming,PlayStation  Xbox 36 Horror,Kickstarter
Luis,es.vocaloid.wikia.com,3304,Music,Electronic| Hip Hop| Rap| R&B| Technology,Lifestyle
Luis,es.monsterlegends.wikia.com,75757,Gaming,iOS,Mac
